"","BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","BEGIN_DATE_TIME","CZ_TIMEZONE","YEAR","STATE","Code","EVENT_TYPE","CZ_NAME","TOR_F_SCALE","BEGIN_LAT","BEGIN_LON","timestamp","avg_estimated_wind","F_scale"
"1",195004,29,1530,"29-APR-50 15:30:00","CST",1950,"TEXAS","TX","TORNADO","COMANCHE","F1",31.9,-98.6,1950-04-29 15:30:00,92.5,"F1, 73-112 mph"
"2",195001,26,1800,"26-JAN-50 18:00:00","CST",1950,"TEXAS","TX","TORNADO","BROOKS","F2",26.88,-98.12,1950-01-26 18:00:00,13,"F2, 113-157 mph"
"3",195002,11,1350,"11-FEB-50 13:50:00","CST",1950,"TEXAS","TX","TORNADO","HARRIS","F3",29.67,-95.05,1950-02-11 13:50:00,182,"F3, 158-206 mph"
"4",195002,11,2100,"11-FEB-50 21:00:00","CST",1950,"TEXAS","TX","TORNADO","SMITH","F2",32.35,-95.2,1950-02-11 21:00:00,13,"F2, 113-157 mph"
"5",195002,11,2355,"11-FEB-50 23:55:00","CST",1950,"TEXAS","TX","TORNADO","CASS","F2",32.98,-94.63,1950-02-11 23:55:00,13,"F2, 113-157 mph"
"6",195002,12,30,"12-FEB-50 00:30:00","CST",1950,"TEXAS","TX","TORNADO","BOWIE","F2",33.33,-94.42,1950-02-12 00:30:00,13,"F2, 113-157 mph"
"7",195002,12,115,"12-FEB-50 01:15:00","CST",1950,"TEXAS","TX","TORNADO","ERATH","F1",32.08,-98.35,1950-02-12 01:15:00,92.5,"F1, 73-112 mph"
"8",195002,12,610,"12-FEB-50 06:10:00","CST",1950,"TEXAS","TX","TORNADO","LIMESTONE","F2",31.52,-96.55,1950-02-12 06:10:00,13,"F2, 113-157 mph"
"9",195002,12,1157,"12-FEB-50 11:57:00","CST",1950,"TEXAS","TX","TORNADO","SHELBY","F1",31.8,-94.2,1950-02-12 11:57:00,92.5,"F1, 73-112 mph"
"10",195002,12,1200,"12-FEB-50 12:00:00","CST",1950,"TEXAS","TX","TORNADO","SHELBY","F3",31.8,-94.2,1950-02-12 12:00:00,182,"F3, 158-206 mph"
"11",195004,28,1800,"28-APR-50 18:00:00","CST",1950,"TEXAS","TX","TORNADO","CALLAHAN","F4",32.42,-99.5,1950-04-28 18:00:00,233.5,"F4, 207-260 mph"
"12",195005,4,2030,"04-MAY-50 20:30:00","CST",1950,"TEXAS","TX","TORNADO","OCHILTREE","F2",36.4,-100.8,1950-05-04 20:30:00,13,"F2, 113-157 mph"
"13",195005,14,1600,"14-MAY-50 16:00:00","CST",1950,"TEXAS","TX","TORNADO","FORT BEND","F1",29.53,-95.45,1950-05-14 16:00:00,92.5,"F1, 73-112 mph"
"14",195005,15,1,"15-MAY-50 00:01:00","CST",1950,"TEXAS","TX","TORNADO","KENDALL","F2",29.78,-98.83,1950-05-15 00:01:00,13,"F2, 113-157 mph"
"15",195005,25,1630,"25-MAY-50 16:30:00","CST",1950,"TEXAS","TX","TORNADO","DAWSON","F1",32.67,-101.88,1950-05-25 16:30:00,92.5,"F1, 73-112 mph"
"16",195005,29,1700,"29-MAY-50 17:00:00","CST",1950,"TEXAS","TX","TORNADO","DENTON","F1",33.35,-96.92,1950-05-29 17:00:00,92.5,"F1, 73-112 mph"
"17",195006,5,1555,"05-JUN-50 15:55:00","CST",1950,"TEXAS","TX","TORNADO","WASHINGTON","F3",30.18,-96.4,1950-06-05 15:55:00,182,"F3, 158-206 mph"
"18",195006,5,1600,"05-JUN-50 16:00:00","CST",1950,"TEXAS","TX","TORNADO","AUSTIN","F1",29.9,-96.4,1950-06-05 16:00:00,92.5,"F1, 73-112 mph"
"19",195006,19,2040,"19-JUN-50 20:40:00","CST",1950,"TEXAS","TX","TORNADO","HARTLEY","F0",36.08,-102.53,1950-06-19 20:40:00,56,"F0, 40-72 mph"
"20",195002,11,1310,"11-FEB-50 13:10:00","CST",1950,"TEXAS","TX","TORNADO","BRAZORIA","F2",29.42,-95.25,1950-02-11 13:10:00,13,"F2, 113-157 mph"
"21",195103,28,510,"28-MAR-51 05:10:00","CST",1951,"TEXAS","TX","TORNADO","HOUSTON","F1",31.37,-95.6,1951-03-28 05:10:00,92.5,"F1, 73-112 mph"
"22",195107,2,15,"02-JUL-51 00:15:00","CST",1951,"TEXAS","TX","TORNADO","LAMB","F2",34.18,-102.12,1951-07-02 00:15:00,13,"F2, 113-157 mph"
"23",195105,31,1600,"31-MAY-51 16:00:00","CST",1951,"TEXAS","TX","TORNADO","HUTCHINSON","F1",35.77,-101.38,1951-05-31 16:00:00,92.5,"F1, 73-112 mph"
"24",195106,6,1820,"06-JUN-51 18:20:00","CST",1951,"TEXAS","TX","TORNADO","POTTER","FX",35.23,-101.82,1951-06-06 18:20:00,56,"F?"
"25",195106,6,1850,"06-JUN-51 18:50:00","CST",1951,"TEXAS","TX","TORNADO","CARSON","FX",35.62,-101.47,1951-06-06 18:50:00,56,"F?"
"26",195106,6,2006,"06-JUN-51 20:06:00","CST",1951,"TEXAS","TX","TORNADO","CARSON","F3",35.43,-101.18,1951-06-06 20:06:00,182,"F3, 158-206 mph"
"27",195106,6,2040,"06-JUN-51 20:40:00","CST",1951,"TEXAS","TX","TORNADO","GRAY","F0",35.55,-100.97,1951-06-06 20:40:00,56,"F0, 40-72 mph"
"28",195106,6,2050,"06-JUN-51 20:50:00","CST",1951,"TEXAS","TX","TORNADO","CHILDRESS","F2",34.43,-100.2,1951-06-06 20:50:00,13,"F2, 113-157 mph"
